Comments,HateSpeech
এরা কি জামাত শিবির কুত্তার বাচ্চা কি কয়,hate
হালায় পাক্কা যৌনকর্মীর পোলা,hate
নটীর ছেলে,hate
নডির পোলা সাদ্দাম মারে বাপ,hate
দুরু খানকির ছেলে,hate
তর গলাডা এক কুবে হালায় দিতে পারতাম,hate
সোদানির পোলা,hate
আরে জানোয়ারের বাচ্চা এই সবগুলা হচ্ছে কনডম দুর্ঘটনার ফসল,hate
একে এখনো ছাত্ররা গণপিটুনি দেয় না কেন,nonhate
এতো আসলেই খানকির ছেলে,hate
ইতে আরেক চুদানির পোয়া -,hate
আদু ভাই -তুই করবি বুইড়ালীগ।,nonhate
কুত্তার বাচ্চা তুই সালা,hate
খাংকির ছেলে,hate
কুত্তা মার্কা কনডম লীগ বলে কি? ,hate
খানকির পোলা,hate
ছি! ছি! ছি! এই মাসে কি এইজন্য জন্মাইছিলাম,nonhate
মানুষকে এরকম করে আরও ক্ষেপিয়ে তোলা হচ্ছে। পরে সামাল দিতি পারবিনা মনে রাখিস৷ ,nonhate
জনগণের প্রতি অবিচার হচ্ছে জনগণ অসহায় হয়ে গেছে,nonhate
ধিক্কার এই সমাজ ব্যবস্থাকে,nonhate
এই অন্যায় অবিচার করা হচ্ছে জনগণের সাথে,nonhate
বাংলাদেশের বিচারব্যবস্থা আরো আগেই ধ্বংস হয়ে গেছে ,nonhate
এই মায়ের অভিশাপে এ শেষ হয়ে যাবি তুরা বোঝতেও পারবি না,nonhate
"ধিক্কার জানাই, এমন দেশে জন্ম নেওয়াটাই কি অপরাধ।",hate
আহারে এরা কত বড় জালেম।,hate
আল্লাহ এই জালেমদের বিচার তুমি করো।,hate
এটা কেমন বাংলাদেশ নিজের স্বাধীনতা বলতে কিছুই নেই,nonhate
মনডা চায় পুলিশের পাছায় গরম সিদ্ধ ডিম ঢুকায় দেই।,hate
পুলিশ না জানোয়ার এইগুলা,hate
কুতার বাচ্চা পুলিশ তোদের কে ঘৃনা করি,hate
সৈরাচার খুনি নিপাত যাক গনতন্ত্র মুক্তি পাক!,hate
অমানুষ গুলো  এগুলোর বিচার আল্লাহ যেনো হারে হারে করে,hate
সালা লুইচ্চা একটা আর বলদ মার্কা আদু,hate
আপনাদের এত্ত পুটকি মারতে চাইছিল তা প্রমান নিয়ে এতদিন বলতে পারলেন না কেন?,hate
কাদের রুমে কনডমের ডিলারশীপ ছিলো তা জাতি দেখছে তো বাইঞ্চুদ,hate
এতো দুষ্টু কেন পোলাপান,nonhate
ভিডিওটা দেখে কষ্ঠে নুনু দিয়ে পানি বেরহইয়ে গেল,hate
এর তিব্র নিন্দা জানাচ্ছি পুলিশকে,hate
আমার শহর রক্তাক্ত করলি। খোদার কসম তোরা বড় নিকৃষ্ট ভাবে ধ্বংস হবি।,hate
এই কুত্তা গুলো কে তোমরা পেটাতে পারোনা,hate
স্রেফ জানোয়ারের বাচ্চা! ,hate
"খানকির পোলারা তোরা আমার ভাই বোন কে এবাবে মারিস না, তোগো খাবর আছে",hate
লজ্জা থাকলে আজই পদত্যাগ করা উচিত,nonhate
মানুষ রুপি শয়তান তা কিভাবে বিকাশেব্যবসা করবে সেই অপেক্ষায় আছে এরা অন্যায়ের প্রতিবাদ করতে জানেনা,nonhate
নাটক চুদাইস না,hate
দালালি।এই সময়ের দেশদ্রোহী,hate
এরা ছাত্র না! এরা জারজ,hate
ভীতু দিয়ে কখনও বিপ্লব হয় না। জ্ঞানীদের কথা,nonhate
কাপুরুষেরা বার বার মরে তোরা সেই দলের অন্তর্ভুক্ত।,hate
এসব কুলাঙ্গার দের দিয়ে নাটক সাজানো হচ্ছে,hate
খনিকের বাচ্চার কোন নাটকে কাজ হবে না,hate
লাত্তি দিয়ে বের করে দেও,nonhate
খানকির পোলা একটা,hate
মনের থাপ্পড়ই বড় থাপ্পড় ,nonhate
তাহার মুখে মুতে দাও হে জাতি,nonhate
তর কথা শুনলে শরিলে রাগ হয়,nonhate
এক নম্বর মুনাফিক ,hate
তুরা খুনি কুত্তার বাচ্চা,hate
"সব গুলা নেশাখুর, নেশা করতে করতে কথা ও বলতে পারে না, আবালচুদা",hate
মাগির পোলা মরবি না তোরা,hate
শালার পুতের চেহারা দেখ ফেরাউন এর ছোট ভাই,hate
এই বাইনচোদে অলটাইম টালে থাকে,hate
আমি লিখিতভাবে আপনার,nonhate
মতামতের মারে চুদি ,hate
মাদারচোদ সেজন্য সবাইকে গুলি করতে হয়েছে,hate
এই খুনির চেহেরাটা দেখলেই বুমি আসে,hate
কাক্কু আস্তে জিহ্বা পচে গেছে মিথ্যা বলতে বলতে,nonhate
সব কয়টা খানকির পোলা,hate
খুনির হাত সব সময় লাল হয়,nonhate
তোর হাতে আমার ভাইয়ের খুন লেগে আছে। দূর হ শয়তান!,hate
ভুস্কি নাটক মারাইতে গেছে,hate
মায়া কান্নার মাইরে দুচি ,nonhate
নাটক বাজ রাক্ষুসী ডাইনির ,hate
এই জুলুমের শেষ কোথায়?,nonhate
সাউন্ড বাড়ায় দিয়ে আরো ১০টা গান লাগাই দে চোদানির ফোয়া,hate
এ কোন অরাজকতা চলছে। আল্লাহ তুমি রহম কর,nonhate
দালাল এর বাচ্চারা দুইদিন পর টয়লেটে টয়লেটে যাবে,nonhate
"জারজের বাচ্চা রা দেশে যা শুরু করছে,",hate
সবাই হলো রাজাকারের বাচ্চা,hate
উনি হলো কুত্তার বাচ্চা,hate
গাঁজাখুরি পরিসংখ্যান কি করে দেয় বুঝতে পারি না!,nonhate
"হালা স্বৈরাচার লীগের, কুত্তার বাচ্চা চোরের বাচ্চা",hate
শালা জারোজ সন্তান,hate
শালা বানচোত পুরোটাই,hate
এ গোলামের বাচ্চা মনে হয় পাগল হয়ে গেছে,hate
আরে মূর্খের বাচ্চারে টক শো তে কে আনছেরে,hate
শুয়ার বাচ্চা কয় কি,hate
বুরা বাইনচোদ,hate
এই শালা পুত বড় রাজাকার,hate
তুই নিজে তো ১নং রাজার বুইড়া বাইনচোত,hate
শালা চোদানির পোলা,hate
বুড়ো শালার পুটকিদের টাকা ঢুকিয়ে দেবো,hate
বোকাচোদা যখন জ্ঞানী লোকের সাথে আসে পাঙ্গা নিতে,hate
এই কুত্তার বাচ্চার নাম নাকি জাস্টিস চৌধুরী ,hate
খানকির পুত তার মধ্যে তুই,hate
"একজন, হারামজাদা",hate
প্রতিবাদের ভাষাতে শালীনতা হওয়া উচিত অশ্লীল কোনো ভাবেই কাম্য নয়,nonhate
এদের কঠোর স্বাস্থি কামনা করছি ,nonhate
"ধানখেতের ইন্দুর, নিজের মায়েরে বাঁচাইতে পারে নাই যে কুপুত্র, সে দেশ কি বাঁচাবে!?",hate
এভাবে বাঘকে অপমানের সাহস আপনাদের কে দিলো। এবারতো বাঘেরা আপনাদের বিরুদ্ধে আন্দোলন করবে,nonhate
বাংলাদেশ কে আবার তছনছ করে দিতে,nonhate
যারা পালিয়ে যায় তারা বিড়াল হয় যে,nonhate
লজ্জা করেনা আপনাদের? এমন চোর বাটপারদের নাম নিতে?,nonhate
দেশ বিক্রি হয়া পর বাঙালি টের পাবে,nonhate
গলাত টিপা মাইরা মারিল লায় না কেনে,nonhate
তুমি হেতেরে ফাকির মতো ঝাপটা মেরে দরিয়া আমারে ফোন দিলা না কেন,hate
ওদেরকে ছাড়বেন না যে কোন জায়গায় পাবেন অপমান করবেন,nonhate
প্রবাসে তাদের কে সুন্দর করে গরম ডিম থেরাপি দেয়া হোক,hate
সালাম দিয়া যে জুতার বাড়ি!,nonhate
জুলুম বাজরা সব জায়গায় বেইজ্জত হবে এইভাবে,hate
হালা চুরি কইরা দেশ তাকি বাগছে,hate
ভাই একসুব দিলানা কেনে হ্লারে,hate
"চুরের বাচ্চা বাগিয়া আইছে, আবার লাম্বা মাথের।",hate
এরা ভয়ংকর অপরাধ করে বেড়ায় এদেরকে সর্বোচ্চ শাস্তি দেওয়া উচিত,nonhate
সুদ মানে রক্ত চোষাই.,nonhate
ওরা আসলে জারজ মেয়ে,hate
ভাই এই বেয়াদব মহিলাটারে আইনের আওতায় আনেন,hate
অপেক্ষা করেন আপনার পিচনের সাইডে পদ্মা সেতুর পিলার দেওয়া হবে,hate
ভাই আমারা মেনার জানি তাই কোনো গালি দিলাম না মহিলাটা বেয়াদব,hate
হিংসা পরায়ন মহিলা। হাসিনার বিচার চাই।,nonhate
এখন স্যার আপনার হাতে ক্ষমতা আপনি সৈরাচার কে নিয়ে আসেন তার পর ফাঁশি দেন,nonhate
"কি আর হবে স্বাধীনতা পুটকি দিয়ে ভরে দিবে,",hate
এই অর্ধেক উলঙ্গ লোকগুলো এসে বাংলাদেশের রাজনীতি করবে,hate
এসো পুটকিতে ঢুকায়ে দেব,hate
"এটা ইংলিশ পাডি, এইটার তেজ অনেক ",nonhate
তত দিনে আন্দোলন কারী সবাই মরে ভুত হই যাইবো,nonhate
"মেয়ে আসছিলো বাবা হত্যার প্রতিশোধ নিতে, নাতি আসবে দাদির প্রতিশোধ নিতে আর বাংলাদেশিরা শুধু রক্ত দিবে।",nonhate
খানকির পোলা তোরা কি করছু হাওয়া ভবন এর কাহিনী জানিস,hate
মাতাল রাজা ছাএ লীগ করোস নাকি সামনে পাইলে স্যাটেলাইট ডুকানো হবে,nonhate
আপনার কুকুর গুলো কেই।কতো অত্যাচার কতো খুন করছে,nonhate
তোমরা কি পাকিস্তানের দালাল?,hate
তদের এতো চুলকায় কেন নিজের দেশ নিয়া ভাব মাদার বোড,hate
বাংলাদেশ নিয়া কথা বলার কে তুই শালা,hate
বাংলাদেশের অভ্যন্তরীণ বিষয় নিয়ে ভারতের মাতব্বরি করার অধিকার নেই,nonhate
গলার আওয়াজ শুনলে মনে হয় ভাদ্র মাসের কুত্তা।,hate
"নতুন মুক্তিযোদ্ধাদের জন্য কোটা বরাদ্দ রাখা হোক, আর পূর্বের মুক্তযোদ্ধাদের রাজাকার ঘোষণা করা হউক।",nonhate
এটা করা ভাই উচিত না। আজ যে দেশের জন্য দেশ প্রেম দেখাচ্ছেন। এই দেশটা তাদের দেওয়া।,nonhate
বাঙ্গালী জাতি হিসেবে আমি আজ লজ্জিত,nonhate
জলিমরা অকৃতজ্ঞ,hate
আসলেই জাতি হিসেবে অকৃতজ্ঞ আমরা! ,nonhate
হালায় কোইলো কি,hate
তর মত মাদারবোর্ড মুক্তিযোদ্ধের কি বুঝস রে বেশ্যার জন্ম,hate
তোর মত ছাগলের পক্ষে এটাই বাস্তব।,hate
"যে পরিমাণ ডাকাত নামছে। ডাকাত নিজের ঘরে ফিরে দেখবে তার ঘরেও ডাকাতি হইছে,",nonhate
আমাদের এলাকায় ডাকাত আতঙ্ক আজ,nonhate
এইভাবে কেউ আহবান করে বেয়াদব কোথাকার ,hate
ধোনের মাতা,hate
নুনুর ছাতা ,hate
টুনটুনির ছাতা।,hate
বাংলাদেশের নাম চেঞ্জ করে রাখা হোক গুজবস্থান,nonhate
ডাকাত এর গুজবে তিনদিন ঘুম বাদে ,nonhate
ডাকাত ধরার জন্য মনে পুলিশ পুলিশ ভাব,nonhate
ঠিক ভাই ছাগল কষ্ট কেহ বুঝেনা,hate
কুত্তার বাচ্চা ফুটফুটে সুন্দর জাওরার ঘরের জাউরা,hate
শালারা কি মাল খেয়ে মাথায় আসার পর নিউজ উপস্থাপন করে,hate
এই হালারে আবার পাবনা থেকে কে ছাড়লো,nonhate
এই শালারে কেমনে সহ্য করে ,nonhate
সুদানিরফুয়া,hate
হালারপুত এর অভিনয় টা কি,hate
এটা তুর মার হেডার আন্দোলন নাকি,hate
চাটুকা দালাল সাংবাদিক।,hate
এই শালা কি সস্তা মাল খেয়ে আসছে নাকি বে,nonhate
এ সালা রে দেখলে মনে হয় মলম বিক্রেতা,nonhate
হালায় দুই পোটলা খাইছে খাইয়া সংবাদ পড়তেছে,hate
"উনি তো এমন ভাবে দৌড়াইতেছে মনে হয় ওনার পুটকিতে কেউ কাঁচা, মরিচ দিছে,",hate
তোমার হুগামারা সারা,hate
ভাই এই হালায় কি পেট্রোল খেয়ে কথা বলতেছে ,nonhate
এটা আন্দোলন নয় এটা তোর চৌদ্দগুষ্টির হেডা,hate
এই সালা একটা বাটপার দালাল।,hate
শালায় কি একটি সাংবাদিক নাকি একটি জোকার,hate
দুর হালা মেয়াদ উত্তীর্ণ গাঞ্জা খেয়েছে।,nonhate
তর বাপের পুটকিতে লাগা পাগলের বাচ্চা হাগল।,hate
তুই যে লীগের দালাল এইটা সম্পুর্ন পরিষ্কার,hate
তোর সাউয়া ,hate
দালালের ঘরের দালাল মূর্খ,hate
এই বেটারে কাতি মাসের কুত্তায় কামড়াইছে,nonhate
জি বাংলার জোকার,hate
সালা বেডা নিজের দেশের চরকায় তেল দে,hate
ভাই পারলে কয়টা সাংবাদিক নিস আমাদের থেকে বোকাচোখা,hate
চোরের বাচ্চা কিভাবে কথা বলে,hate
শালারে কে নিউজ পড়াতে নিয়ে গেছে,hate
তরে একবার ফাইলে রে মাদারচোদ ,hate
এটা কি তের মার হেডার,hate
দূর সালা,hate
এই কুলাংকার সাংবাদিক পাগল নাকি।,hate
বুকাসুদা হালারপুত,hate
তোদের এতো চুলকানি কেন।,nonhate
ওদের এতো চুলকায় কেন?,nonhate
এতো বড় লেজ কি করে এই পাছার মধ্যে লুকালো?,nonhate
এরা সব পাগল হয়ে গেছে পাগলের বাচ্চা,hate
হাজার মানুষের ভিড়ে তুমি এক বোকাচোদা রিপোর্টার।,hate
তার মার পুটকিতে মারত সেনাবাহিনী ,hate
এর পাছায় গুড়া কৃমি আছে ,nonhate
এটা হেতের মা হেডা,hate
আরে কুত্তার বাচ্চারা আমাদের দেশে যা মন হবে এত কেন মাথা ব্যাথা,hate
তোদের মত কুলাংগার সন্তান ভারতে পাওয়া যায়,hate
গরুর তো পাছায় গোবর থাকে আর এই শালা বেটার গবর দেখছি মাথায়।,hate
গরুর তো পাছায় গোবর থাকে আর এই শালা বেটার গবর দেখছি মাথায়।,hate
শুয়োরের বাচ্চা নাকি সাংবাদিক,hate
এটার পাছায় গরম আন্ডা কে দিয়েছে,nonhate
"বালের সাংবাদিক,",hate
আবাল চোদা,hate
তদের এতো চুলকায় কেন,nonhate
এটা কে দেখেই বুজা যাচ্ছে বেশ্যা পাড়ায় জন্ম,hate
হালারপুত চ্যানেল আর হারে হারামজাদা উপস্থাপক।,hate
উপদেষ্টার বাপ লুচ্চা,hate
লুচ্চার ছেলে,hate
কুলাঙ্গারের ঘরে কুলাঙ্গারই তৈয়ার হয়,hate
লুচ্চা বাপের লুভী ছেলে,hate
লুচ্চা বেডার পোলা কি আর ভালো হইবো।,hate
লুচ্চার পোলা লুচ্চাই হবে ভালো কোরে আলোর কর,hate
এই কুত্তালীগের কিছু কিছু দালাল এখোনো গুজব ছড়াচ্ছে,hate
লুচ্চা ঘরে তো লুচ্চাই হবে ওর সাতের মেয়ারা তো কয় লাম না,hate
শালার টুনটুনিতে ১০ ইঞ্চি ইটা বেঁধে দেওয়া হোক ,hate
সময় হলে সব রাজাকারের বাচ্চার বিচার হবে। ,hate
লুচ্চামি বিচার করা জরুরি,nonhate
কুত্তার বাচ্চার ঘরের ছাগলের বাচ্চা,nonhate
বাবা লুচ্চা ছেলে আউলিয়া,hate
রাজাকারের বাচ্চা,hate
জেনা কুর বাবার জেনাকুর ছেলে,hate
লুচ্চার ছেলে হয়েছেন মন্ত্রী সিনেমায় দেখে ছিলাম মাঝির ছেলে ব্যারিষ্টার,hate
শালা লুচ্ছার ছেলে,hate
বাটপার বাপবেটা,hate
জাতার মালাদেয় হালারে,nonhate
লুইচ্চার বংশধর,hate
লুচ্চা সালা,hate
লুচচার ঘরে রাজাকার হয়েছে,hate
চরিত্রহীন লম্পটের ছেলে,hate
কিরে চোদোক খোরেরা বাপে করে এই কাম,nonhate
লুচ্চা বিচার করবে কে নিজের ছেলে,hate
খানকির ছেলে,hate
কুলাঙ্গার এর ছেলে এর চাইতে আর ভালো কি হতে পারে এ আরেক কুলাঙ্গার,hate
চাটার দল লাইগা পরছে,hate
শালারে আইনের আওতায় আনা হোক,nonhate
বাপ যেমন লুচ্চা ছেলেও তেমন লুচ্চা হবে,hate
বাঁদর গরতানে বাদে লুচ্চা,hate
বাটপারের বাবা,hate
বানা ছাগলের বাচ্চারে লোচ্চা হালা,hate
লুচ্চার পোলারে দিছে উপদেষ্টা এই বাংলাদেশ আর কি চলব ভালো,hate
বাবা লুচ্চা নাম্বার ওয়ান,hate
সোনায় ইট বাদা হোক,nonhate
লুচ্চা শালার ব্যাটা,hate
লুচ্চার আবার কি ভালো দেব লজ্জা তো লোড চাই,hate
চাচা এতো লুচ্চা কেনো,hate
ওরে লুইচ্চা,hate
ছিছি এই বয়সে এসব? বুইড়া খাটাস,hate
ভাই লুচ্চার ব্যাটা সরকারের দায়িত্ব আছে,hate
এর বাপের সোনা কাইটালা,nonhate
ভাই তোর বাপ লুচ্চামি করেছি আর তুই দেশের উন্নয়ন পাবলিক চ্যারাটে লুচ্চার কমান্ডার,hate
বদমায়েশের ছেলে চালাবে দেশ,hate
কুত্তার থেকে কুত্তার বাচ্চায় হয়,nonhate
লুচ্চার ছেলে কাছে দেশের মানুষ কি আশা করে বুঝিনা,hate
কিছু কুত্তার বাইচ্ছাইন্তে ইগুলা দেখইন নানি,hate
কইরে রাজাকারের পোলাপাইন,hate
লুইচ্চা শালার পূত,hate
এই শালা তোর বাপের বিচার কর,hate
এরাইতো রাজাকার,hate
কৈ।তার লুচ্চা বাবার কি হবে,hate
মাগির পোলা বাপ বেটা হারামি,hate
লুচছার ছেলে লুচছাই হবে,hate
দে হালারে ভাইরাল কইরা,nonhate
হটি ছিজলিং লতিকা,hate
টুকাই লীগের দিন শেষ,hate
চুদানির সমন্বয়ক,hate
মাদারচোদ অনেক ইউনিভার্সিটিতে অস্ত্র রাইকা চলে গেছে ছাত্রলীগের পোলাপাইন,hate
হেডার সমন্বয়ক,hate
আচ্ছা এই মাদারবোর্ডর প্রোফাইল দেখলে বুঝবেন এরা ছাত্রলীগের পোলাপান ,hate
"সমন্বয়ক সঙ্গে সহমত পোষণ সমস্ত ছাত্র-ছাত্রীকে, ফুটকি মারা উচিত।",hate
"চুদে দিছে বাংলাদেশ কে, এমন সমন্বয়েকের মায়রে চুদি",hate
বাল ছিরু আইছে মডেল করতে।,nonhate
সমন্বয়কের বাংলাদেশ বাকি সব চুদির ভাই,hate
সমন্নয়করা কি চেটের বাল নাকি,hate
বাহ মাঙ্গের নাতি পা চাটা দালাল,hate
তুমি চুদির ভাই কল দিয়ে কথা বলছো না কেনো?,hate
"ওরা বাটপার, তাদের সুন্দর সুরের ভেতর বিশাল রহস্য আছে।",nonhate
আরও নাচও আবালের মতন চুতিয়াদের কথায় তাদের স্বার্থ হাসিলের জন্য ,hate
ইসব বাল ফেলানোর জন্য কাহিনী করতেছোস,hate
রে দেখলেই তো মনে হচ্ছে এই হালা ছাত্রলীগ এর দালাল।,hate
"কিছু হইলেই ফেসবুকে বাল ছাড়া শুরু করে,",nonhate
এখন সবাই সাংবাদিক শালারাই দেশ টা নষ্ট করে দিচ্ছে,hate
ছাত্র লিগ হোগা মারা দিলে ভাল,hate
পিস তল নিতে আসছে মাং গের পোয়া বেডারা বুঝে,hate
এই জেনারেশন কে চোদনা ভেবে লাভ নাই।,nonhate
তুমি যে কুত্তালীগের দালাা তা তোমাকে দেখলেই বুঝা যায়।,hate
বালের সমন্বয়ক আমার,hate
ওরে বোকা চোদা নাম্বার আছে ফোনে কথা বল।,hate
ওর আইডি তে ডুকলেই দেখা যায় ও কুত্তালিগের পা চাটা দালাল।,hate
ধন কইছেন ভাই সেই হইছে,nonhate
আবাল লিগ এর পোস্ট,hate
সমন্বয়ক দের ত প্রচুর হেডাম,nonhate
ছাত্রলীগের মন্তব্য সুদি।,nonhate
বালের বিডিও দিছে পুরা টা দিল না কেন,hate
বাটপাররা এখনই বাটপারি শুরু করে দিয়েছে,hate
এই চোদনা ছাত্রলীগের,hate
সমন্বয়কের হোগা মারা শুরু করবো নাকি,hate
এরাতো কুকুর লীগ এর পালা কুত্তা,nonhate
তোরা বাল ফেলতেছিস,nonhate
এই বালের স্বাধীন আমরা চাই নাই তো।,hate
খনিকের পোলা খনিকের গীল,hate
ছোটলোকের বাচ্চা আইফোন দেখাও আমাদেরকে,hate
"শাউয়ার পোলা আগে একটা কল দে, তা না",hate
এই শালায় তো আম্লিগের চামচা,hate
"তুমি হেডা লীগ এর চামচা তাই তোমাকে ঢুকতে দেয় না,",hate
শাওয়ার সমন্বয় কারী।,hate
তুই তো শালা লীগ করস,nonhate
বাল পাকনামি না করে কল দিয়ে কথা বল বেডা,nonhate
এই সমন্বয়কগুলারে ডিম থেরাপি দেয়া হোক। বদের হাড্ডি শুয়োর,hate
ভোদায়গুলা নিজেদের কি না কি ভাবা শুরু করসে।,hate
কি বালের আন্দোলন এ গেছো সেটা আমরা বুঝি।,nonhate
মাদারচোদ জারা আন্দোলন করছে দেশটা কি সুধু তাদের,hate
এই মাদারফাকার গুলো ছাত্রলীগের সন্দেহ নেই।,nonhate
এরে কেউ ধইরা দেয় না ক্যান পুটকিতে,hate
ভগবান কি সত্যি খারাপ মানুষগুলোর ক্ষতি করে ,nonhate
কোন ধরনের পুরুষ এগুলো? মানুষ নাকি জানোয়ার।,hate
জানোয়ার সবকটার পুরুষাঙ্গ কেটে হাতে ধরিয়ে দিতে হবে,hate
এনকাউন্টারে প্রত্যেকটার মাথার খুলি উড়াতে হবে।,nonhate
এদের আদালতের অধিকারটা পাল্টাতে হবে ,nonhate
ধর্ষকদের জন্য বিশেষ আইন দরকার যাতে তাদের তাদের জন্য কোন আইন না হয় দেখামাত্রের জন্য গুলি করে মেরে ফেলা হয়,nonhate
মানুষ এতটা নির্মম হয় কিভাবে ,nonhate
এমন বিচার করা হওক। পৃথিবীর সব মানুষ মনে রাখবে ,nonhate
জন্ম আজন্ম পাপ। ধিক্কার জানানো ভাষা নেই,hate
বোন তোমার জন্য চোখে পানি এসে গেছে ,nonhate
এই জানোয়ারদের ও ভুগতে হবে - শাস্তি পাবে ,hate
সৃষ্টির সেরা জীব কী আমরা এখনো বাস্তবিক অর্থে হতে পেরেছি?,nonhate
ছিহ্! পাপীর দল! আল্লাহর কাছে এটুকুই চাওয়া যারা করেছে তাদের শরীর গলে যাক!,hate
কিভাবে একটা মেয়েকে. এসব দেখার জন্য বেঁচে আছি!,nonhate
"ধর্ষনের সর্বনিম্ন শাস্তি রাখা উচিত এনেস্থিসিয়া ছাড়া পুরুষাঙ্গ কর্তন,",hate
সর্বোচ্চ শাস্তি মৃত্যুদন্ড। এছাড়া ধর্ষণ আটকানো অসম্ভব।,nonhate
ভগবান এর বিচার করো,nonhate
যে রাজ্যের মুখমন্ত্রী মহিলা। এখনো প্রশ্রয় দিয়ে যাচ্ছেন। প্রমান লোপাট করে যাচ্ছেন। শুধু দুঃখ,nonhate
"একটা মেয়ে হয়ে আরেকটা মেয়ের এরম নৃশংস ব্যাপার করেছে,",nonhate
এটা ভাবলেই গা গুলিয়ে ওঠে!,nonhate
গতকাল সেই এক মেয়ের জন্য ন্যায় চাইতেই লাখ লাখ মেয়ে একত্রিত হয়েছিল! কি অদ্ভুত একটা সমাজ,nonhate
ছি: এত এত খারাপ।,hate
"অপরাধীদের প্রকাশে কঠিন থেকে কঠিনতর শাস্তি দেওয়া উচিত,",nonhate
"তোমাদের দেশে তো প্রকাশে পতিতালয় আছে, সেখানে যেতে পারতে",nonhate
তোমাদের ছাত্রদের মতো এখানকার ছাত্রদের এত সাহস নেই এবং একতা নেই,nonhate
মানুষ এখন কুকুরের চেয়ে নিকৃষ্ট,hate
নিস্তব্ধ হয়ে গেলাম,nonhate
যারা এসব করছে এদের ফাসি দেওয়া উচিত।,nonhate
ছি কিছু পুরুষ কুকুরের চেয়েও খারাপ,hate
"একজন চিকিৎসকের সাথে এমন ব্যবহার! কল্পনাতীত, ছিঃ ছিঃ ছিঃ ছিঃ,",hate
এটার তদন্ত করে দোষীদের শাস্তি নিশ্চিত করতে হবে।,nonhate
আমরা জাতি হিসেবে লজ্জিত,nonhate
আয়না ঘরের লোকগুলিও কারো না কারো বাবা ছিল!,nonhate
সেটিও তো প্রতিবাদ হওয়া উচিত।,nonhate
ছি ছি ছি। এসব মেনে নেয়া যায়না।,hate
স্বৈরাচারের নতুন সংজ্ঞা।,nonhate
কেউ কিছু বললে লীগের ট্যাগ কিংবা দালাল।,hate
বাকি আপনি আমি সবাই বাল ছাল।,hate
ছি ছি নব্য স্বাধীনতার নামে,hate
জগন্য নোংরামি দেখছে বিশ্ব!,hate
"এটা অতি বারাবাড়ি, অতিরিক্ত কোনকিছুই ভাল নয়।",nonhate
এরা কী ছাত্র ,nonhate
পাকিস্তানের বীর্য বহমান শরীরে জারজ সন্তানের থেকে ও খারাপ এদের মানসিকতা।,hate
ছি ওদের কোন ভাল মানুষ জন্ম দেয় নাই,hate
"কত নির্মম বিকৃত মানসিকতা, এর জবাব একদিন পাবে",hate
এক অসভ্য প্রজন্ম গড়ে উঠেছে এই দেশে,hate
"লজ্জা হয় এমন শিক্ষিত জাতির জন্য,",nonhate
"এদের জন্ম হইছে রাস্তা ঘাটে, এইজন্য এদের এই অবস্থা ",nonhate
"দেশে আইন আছে, অতিরিক্ত কোনো কিছুই ভালো না",nonhate
এই ধরনের লোকদেরকে ধরে ধরে সেটা ভাঙ্গা ভালোবাসা দেওয়াই উচিত ,hate
মানুষ কুলাঙ্গারদের উপর কত যে বিরক্ত তা লাইক কমেন্টস দেখলে বুঝা যায়।,hate
নিশ্চয়ই দোষীদের কড়া থেকে কড়া শাস্তি হবে!,nonhate
এইগুলা সামনে এনে জবাই করে দেও জনসম্মুখে,hate
দোষীর কঠিন থেকে কঠিনতম শাস্তি নিশ্চিত করুন,nonhate
তারা কাল পরশু একই কর্মকাণ্ড করতে দুইবার ভাববে না আমাদের দুঃসময়ে কলকাতা বাসী পাশে ছিল আমরা ও আছি আপনাদের সাথে,hate
আপনারা শাস্তি নিশ্চিত করার আগ মুহূর্ত পযন্ত মাঠ ছাড়বেন না,nonhate
মানুষ এতোটা নিকৃষ্ট কিভাবে হয়,hate
পুরুষ হয়ে আজ আমি লজ্জিত,nonhate
অপরাধীদের কঠিন শাস্তির দাবি জানাচ্ছি।,hate
এরকম ঘটনা দ্বিতীয়বার যেনো না হয়,nonhate
অতিরিক্ত কোন কিছুই ভালোনা। এর বিচার হবে একদিন।,nonhate
কি দিয়ে গালি দিবো ঠিক বুঝতে পারছি না।,nonhate
কঠিন বিচার চাই। কোথায় মোদি?,nonhate
জাতি হিসেবে আমরা অসভ্য তা না হলে এমন কাজ কেউ করতে পারে,hate
এটা কখনো মেনে নেওয়া মতো না,nonhate
হায়রে মানুষ। তোদের থেকে শগুন কুকুর অনেক ভালো আছে,hate
জানোয়ার,hate
মৌমিতার মৃত্যু ঘটনা শুনেও যদি আপনার বুক না কাপে তাহলে নিজেকে মানুষ ভাবা ছেড়ে দিন,hate
"সে কি এমন অপরাধ করছে যে এতো নীরহম ভাবে হত্যা করা হইছে,",nonhate
আহা এগুলোর বিচার কখনো হবে না ,nonhate
"ঘটনাটা শুনে আবারও প্রমানিত হলো, নারীই নারীর বড় শত্রু!",hate
ধর্ষণকারী কোন বাঁচার অধিকার নেই এই পৃথিবীর বুকে ,hate
মেয়েটির সাথে যা হয়েছে খুব খারাপ খুব জঘন্য নিকৃষ্ট মানের কাজ হয়েছে,nonhate
মেয়েরা কোথায় নিরাপদ নাই,nonhate
একটা মেয়ে হয়েও ভাবতে পারছি না কি পরিমাণ অত্যাচার হইসে,nonhate
নারীরা সুরক্ষিত কোথায়? ,nonhate
